# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
110940,2014/08/30 11:49,2014/08/30 11:55,2014/08/30 11:53,S15E37,C1.0,-521,-353,0,14,0,12-25,
110950,2014/08/30 14:22,2014/08/30 14:29,2014/08/30 14:25,S14E35,C2.8,-528,-229,0,32,0,no,
110960,2014/08/30 18:29,2014/08/30 18:44,2014/08/30 18:33,S15E33,B9.8,-509,-340,0,0,0,12-25,
110970,2014/08/31 01:51,2014/08/31 02:09,2014/08/31 01:57,N09W49,C1.3,711,54,0,7,2,6-12,
110980,2014/08/31 03:51,2014/08/31 04:02,2014/08/31 03:55,N10W50,B8.9,721,53,0,36,4,6-12,
110990,2014/08/31 05:37,2014/08/31 06:01,2014/08/31 05:55,N08W52,C3.4,739,61,0,74,5,12-25,
111000,2014/08/31 07:21,2014/08/31 07:41,2014/08/31 07:28,N08W52,C1.8,757,68,0,67,7,12-25,
111010,2014/08/31 09:51,2014/08/31 12:06,2014/08/31 11:18,N08W53,C3.6,759,66,0,188,0,12-25,
111020,2014/08/31 12:07,2014/08/31 12:14,2014/08/31 12:11,N08W54,C7.1,767,72,0,16,0,12-25,
111030,2014/08/31 15:30,2014/08/31 15:38,2014/08/31 15:35,N07W58,C2.1,786,72,0,0,0,no,
111040,2014/08/31 15:58,2014/08/31 16:20,2014/08/31 16:11,S15E22,C1.2,-344,-246,0,0,0,12-25,
111050,2014/08/31 17:25,2014/08/31 17:41,2014/08/31 17:33,N07W60,C2.2,824,60,0,34,0,12-25,
111060,2014/08/31 22:28,2014/08/31 23:03,2014/08/31 22:55,S14E16,C1.0,-258,-348,0,70,0,12-25,
111070,2014/09/01 05:43,2014/09/01 05:55,2014/09/01 05:49,S14E13,B8.3,-207,-341,0,0,0,no,
111080,2014/09/01 06:40,2014/09/01 08:22,2014/09/01 07:44,N05W74,C2.1,909,64,0,0,0,no,
111090,2014/09/01 10:20,2014/09/01 10:36,2014/09/01 10:26,N07W69,C1.4,884,84,0,0,0,no,
111100,2014/09/01 15:27,2014/09/01 17:11,2014/09/01 16:04,S13E05,C1.7,-63,-335,0,139,0,no,
111110,2014/09/01 18:03,2014/09/01 20:00,2014/09/01 18:26,S12W47,C1.6,682,-282,0,0,0,no,
111120,2014/09/02 00:09,2014/09/02 00:24,2014/09/02 00:16,N07W80,C2.3,930,95,0,0,5,no,
111130,2014/09/02 00:50,2014/09/02 01:05,2014/09/02 00:59,S13W01,C2.6,18,-331,0,0,0,no,
111140,2014/09/02 12:04,2014/09/02 12:16,2014/09/02 12:09,S14W05,C2.2,83,-350,14,44,5,no,
111150,2014/09/02 13:10,2014/09/02 13:23,2014/09/02 13:15,S13W07,C3.7,130,-320,16,35,0,no,
111160,2014/09/02 20:56,2014/09/02 21:04,2014/09/02 21:00,S20E87,C2.9,-901,-338,0,18,0,no,
111170,2014/09/03 01:31,2014/09/03 01:40,2014/09/03 01:37,N07W89,C2.4,947,130,0,20,0,no,
111180,2014/09/03 02:44,2014/09/03 03:00,2014/09/03 02:53,S21E86,C4.0,-897,-351,0,32,0,no,
111190,2014/09/03 08:40,2014/09/03 09:20,2014/09/03 09:20,S12E88,C1.3,-948,-213,0,0,0,no,
111200,2014/09/03 12:44,2014/09/03 12:55,2014/09/03 12:50,S21E86,C1.6,-894,-349,0,0,0,no,
111210,2014/09/03 13:20,2014/09/03 14:23,2014/09/03 13:54,S14W18,M2.5,285,-230,0,0,0,no,
111220,2014/09/03 21:13,2014/09/03 21:24,2014/09/03 21:24,S13E88,C5.2,-944,-221,0,24,0,no,
111230,2014/09/04 02:24,2014/09/04 02:31,2014/09/04 02:28,N13W82,C2.4,918,200,0,0,0,no,
111240,2014/09/04 06:38,2014/09/04 06:49,2014/09/04 06:43,S82E13,C1.6,-29,-942,0,23,0,no,
111250,2014/09/04 10:00,2014/09/04 10:24,2014/09/04 10:11,S13E87,C3.1,-950,-234,0,0,0,no,
111260,2014/09/04 11:10,2014/09/04 11:26,2014/09/04 11:22,S09W60,C2.2,815,-220,0,33,0,no,
111270,2014/09/04 11:44,2014/09/04 11:49,2014/09/04 11:47,S10W60,C1.8,815,-226,0,12,0,no,
111280,2014/09/04 13:10,2014/09/04 13:45,2014/09/04 13:30,S15W30,C6.3,466,-350,39,105,10,no,
111290,2014/09/04 14:45,2014/09/04 14:53,2014/09/04 14:49,S14E85,C1.5,-916,-251,0,0,0,no,
111300,2014/09/04 16:21,2014/09/04 16:48,2014/09/04 16:32,S19E87,C5.7,-909,-324,0,0,0,no,
111310,2014/09/04 19:16,2014/09/04 19:42,2014/09/04 19:31,S15E87,C3.9,-916,-262,54,28,8,no,
111320,2014/09/05 01:44,2014/09/05 01:52,2014/09/05 01:50,S13E73,C3.8,-888,-255,0,0,0,no,
111330,2014/09/05 06:04,2014/09/05 06:11,2014/09/05 06:08,S13E70,C2.1,-872,-256,0,0,0,no,
111340,2014/09/05 06:16,2014/09/05 07:09,2014/09/05 06:53,S14E69,C6.7,-881,-252,0,0,0,no,
111350,2014/09/05 09:28,2014/09/05 09:38,2014/09/05 09:33,S13E68,C3.2,-860,-259,0,0,0,no,
111360,2014/09/05 14:50,2014/09/05 14:56,2014/09/05 14:54,S09W76,C1.6,912,-188,0,17,0,no,
111370,2014/09/05 16:10,2014/09/05 16:27,2014/09/05 16:17,S15E87,C1.8,-929,-258,0,0,0,no,
111380,2014/09/06 00:00,2014/09/06 00:06,2014/09/06 00:03,S16E61,C2.9,-806,-317,0,40,0,no,
111390,2014/09/06 05:56,2014/09/06 06:44,2014/09/06 06:18,S17E61,C2.4,-801,-338,0,145,0,no,
111400,2014/09/06 08:01,2014/09/06 09:05,2014/09/06 08:08,S10E54,C8.0,-785,-279,0,0,0,no,
111410,2014/09/06 11:24,2014/09/06 11:37,2014/09/06 11:29,S17E54,C2.5,-745,-347,0,0,0,no,
111420,2014/09/06 12:21,2014/09/06 12:28,2014/09/06 12:24,S19W56,C1.7,746,-309,0,0,0,no,
111430,2014/09/06 16:50,2014/09/06 17:22,2014/09/06 17:09,S14E53,M1.1,-733,-324,0,0,0,no,
111440,2014/09/06 17:44,2014/09/06 17:53,2014/09/06 17:48,S11E51,C4.7,-726,-181,0,16,0,no,
111450,2014/09/07 01:53,2014/09/07 02:23,2014/09/07 02:04,S21E63,C7.5,-792,-393,0,29,0,no,
111460,2014/09/07 10:00,2014/09/07 10:10,2014/09/07 10:04,S10E42,C2.2,-641,-291,41,33,0,no,
111470,2014/09/07 10:28,2014/09/07 10:45,2014/09/07 10:37,S12E41,C1.9,-613,-299,67,54,0,no,
111480,2014/09/07 12:01,2014/09/07 12:28,2014/09/07 12:10,S14E43,C2.2,-628,-368,0,92,0,no,
111490,2014/09/07 14:34,2014/09/07 14:44,2014/09/07 14:39,S10E36,C3.3,-492,-266,0,79,0,no,
111500,2014/09/07 19:29,2014/09/07 19:52,2014/09/07 19:43,S12E36,C7.8,-558,-301,0,40,0,no,
111510,2014/09/08 00:08,2014/09/08 00:13,2014/09/08 00:11,S10E26,C5.1,-416,-278,0,12,0,no,
111520,2014/09/08 03:21,2014/09/08 03:57,2014/09/08 03:37,S12E51,C4.6,-723,-198,0,52,0,no,
111530,2014/09/08 16:26,2014/09/08 16:40,2014/09/08 16:33,S16E27,C2.7,-417,-379,0,0,0,no,
111540,2014/09/08 19:01,2014/09/08 19:36,2014/09/08 19:07,N15E28,C2.1,-441,134,0,57,0,no,
111550,2014/09/08 23:12,2014/09/09 01:31,2014/09/09 00:29,N14E31,M4.5,-478,133,0,198,0,no,20140908_2350
111560,2014/09/09 12:19,2014/09/09 12:35,2014/09/09 12:26,S08E12,C3.2,-196,-132,0,12,0,no,
111570,2014/09/10 05:12,2014/09/10 05:32,2014/09/10 05:24,S16E05,C2.4,-88,-398,0,24,0,no,
111580,2014/09/10 16:59,2014/09/10 22:40,2014/09/10 17:33,N14E02,X1.6,-89,74,0,990,1,no,
111590,2014/09/11 03:35,2014/09/11 04:02,2014/09/11 03:49,N15E88,C4.4,-941,264,0,5,0,no,
111600,2014/09/11 06:33,2014/09/11 06:42,2014/09/11 06:36,S82E11,C1.9,-28,"-1,072",0,8,0,no,
111610,2014/09/11 11:54,2014/09/11 12:01,2014/09/11 11:58,S08E74,C2.0,-908,-165,0,15,0,no,
111620,2014/09/11 14:30,2014/09/11 14:50,2014/09/11 14:34,S08E72,C2.4,-899,-168,0,41,0,no,
111630,2014/09/11 15:20,2014/09/11 15:31,2014/09/11 15:26,N15E88,M2.1,-930,252,0,72,0,no,
111640,2014/09/11 21:01,2014/09/11 21:30,2014/09/11 21:26,S17W17,M1.4,269,-390,0,136,0,no,
111650,2014/09/12 02:07,2014/09/12 02:32,2014/09/12 02:24,S16W20,C9.5,304,-370,0,159,0,no,
111660,2014/09/12 08:11,2014/09/12 08:17,2014/09/12 08:15,N18W15,C1.2,246,197,0,22,0,no,
111670,2014/09/12 08:24,2014/09/12 10:43,2014/09/12 09:55,N13W12,C3.2,206,110,0,393,3,no,
111680,2014/09/12 12:25,2014/09/12 13:04,2014/09/12 12:32,S16W71,C1.5,866,-262,0,78,0,no,
111690,2014/09/12 13:36,2014/09/12 13:47,2014/09/12 13:41,S12W74,C1.5,897,-231,0,23,0,no,
111700,2014/09/12 16:32,2014/09/12 16:38,2014/09/12 16:35,S11W74,C1.4,898,-226,0,13,0,no,
111710,2014/09/12 18:45,2014/09/12 19:02,2014/09/12 18:55,S17W29,C2.5,449,-390,0,34,0,no,
111720,2014/09/12 20:05,2014/09/12 20:14,2014/09/12 20:12,S12W80,C3.3,918,-224,0,21,0,no,
111730,2014/09/13 00:00,2014/09/13 00:15,2014/09/13 00:09,S11W79,C2.3,926,-212,0,22,0,no,
111740,2014/09/13 04:29,2014/09/13 04:58,2014/09/13 04:47,N14E76,C1.7,-897,215,0,0,0,no,
111750,2014/09/13 12:41,2014/09/13 12:46,2014/09/13 12:44,S13W44,C1.2,650,-303,0,4,0,no,
111760,2014/09/13 12:50,2014/09/13 12:56,2014/09/13 12:54,S19W37,C3.7,575,-359,0,29,0,no,
111770,2014/09/13 16:10,2014/09/13 16:19,2014/09/13 16:16,S16W40,C1.1,599,-358,0,7,0,no,
111780,2014/09/13 17:11,2014/09/13 17:16,2014/09/13 17:14,S16W41,C1.6,611,-362,0,4,0,no,
111790,2014/09/13 22:28,2014/09/13 22:36,2014/09/13 22:33,S13E01,C1.1,-16,-214,0,7,1,no,
111800,2014/09/13 23:10,2014/09/13 23:15,2014/09/13 23:13,S15W45,C1.2,644,-357,0,0,0,no,
111810,2014/09/13 23:16,2014/09/13 23:26,2014/09/13 23:18,N20W39,C1.5,578,218,0,1,0,no,
111820,2014/09/14 00:12,2014/09/14 00:21,2014/09/14 00:17,S12W88,C1.9,942,-208,0,8,0,no,
111830,2014/09/14 02:03,2014/09/14 02:36,2014/09/14 02:16,S13W49,M1.5,701,-214,0,62,0,no,
111840,2014/09/14 14:08,2014/09/14 14:15,2014/09/14 14:12,S16W52,C1.6,746,-290,0,0,0,no,
111850,2014/09/15 00:20,2014/09/15 00:35,2014/09/15 00:27,S12W63,C3.1,847,-282,0,0,0,no,
111860,2014/09/15 02:04,2014/09/15 02:46,2014/09/15 02:24,N16W52,C2.9,782,152,48,0,5,no,
111870,2014/09/15 13:10,2014/09/15 13:18,2014/09/15 13:14,N12W59,B8.7,801,162,5,0,0,no,
111880,2014/09/15 15:03,2014/09/15 15:24,2014/09/15 15:20,N17W62,B8.1,807,225,13,0,0,no,
111890,2014/09/15 18:11,2014/09/15 18:17,2014/09/15 18:15,N17W61,C2.2,796,263,0,0,0,no,
111900,2014/09/15 20:44,2014/09/15 20:59,2014/09/15 20:51,N11E43,C2.3,-647,84,0,0,0,no,
111910,2014/09/16 15:38,2014/09/16 15:47,2014/09/16 15:45,N17W77,C1.4,890,257,0,0,0,no,
111920,2014/09/16 16:57,2014/09/16 17:07,2014/09/16 17:02,N16W77,C1.6,893,249,0,0,0,no,
111930,2014/09/16 19:06,2014/09/16 19:34,2014/09/16 19:27,N18W78,C2.1,888,270,0,0,0,no,
111940,2014/09/16 20:37,2014/09/16 20:47,2014/09/16 20:43,N17W79,C2.0,897,257,0,0,0,no,
111950,2014/09/16 23:51,2014/09/17 00:08,2014/09/16 23:58,S13W36,C1.8,549,-312,0,0,0,no,
111960,2014/09/17 01:05,2014/09/17 01:14,2014/09/17 01:10,S12W37,C1.2,552,-315,0,0,0,no,
111970,2014/09/17 01:32,2014/09/17 01:50,2014/09/17 01:42,S12W38,C1.3,559,-314,0,0,0,no,
111980,2014/09/17 03:29,2014/09/17 03:44,2014/09/17 03:34,S15W40,C2.6,580,-311,0,0,0,no,
111990,2014/09/17 07:27,2014/09/17 07:34,2014/09/17 07:31,S13W40,C1.2,599,-314,0,0,0,no,
112000,2014/09/17 08:06,2014/09/17 08:19,2014/09/17 08:12,S13W40,C1.4,599,-317,0,0,0,no,
112010,2014/09/17 19:26,2014/09/17 20:13,2014/09/17 19:48,N12W88,C7.5,972,213,0,215,0,no,
112020,2014/09/17 21:10,2014/09/17 21:48,2014/09/17 21:39,S15W87,C3.5,933,-256,0,28,0,no,
112030,2014/09/18 01:06,2014/09/18 01:20,2014/09/18 01:12,N14W88,C1.4,933,237,0,11,0,no,
112040,2014/09/18 07:02,2014/09/18 07:12,2014/09/18 07:09,N05E70,C6.4,-893,49,0,30,0,no,
112050,2014/09/18 08:37,2014/09/18 08:53,2014/09/18 08:41,N08E70,M1.2,-891,36,0,63,0,no,
112060,2014/09/18 15:54,2014/09/18 16:00,2014/09/18 15:58,N04E65,B9.0,-864,26,0,5,0,no,
112070,2014/09/18 17:25,2014/09/18 17:32,2014/09/18 17:30,N04E63,C3.4,-856,18,0,6,0,no,
112080,2014/09/18 21:11,2014/09/18 21:30,2014/09/18 21:19,N14W88,C1.0,938,240,0,5,0,no,
112090,2014/09/19 00:02,2014/09/19 00:13,2014/09/19 00:07,N13W09,C1.2,126,107,0,53,0,no,
112100,2014/09/19 13:49,2014/09/19 13:56,2014/09/19 13:52,N13W15,C1.4,256,108,0,6,0,no,
112110,2014/09/19 17:01,2014/09/19 17:09,2014/09/19 17:06,S13W73,C1.0,887,-261,0,1,0,no,
112120,2014/09/19 17:27,2014/09/19 18:58,2014/09/19 18:32,S10E84,C3.3,-933,-189,0,9,0,no,
112130,2014/09/20 12:43,2014/09/20 13:06,2014/09/20 12:54,S13E88,C1.1,-953,-228,0,45,0,no,
112140,2014/09/20 17:08,2014/09/20 17:23,2014/09/20 17:14,S12E88,C1.1,-936,-214,0,29,0,no,
112150,2014/09/21 01:44,2014/09/21 01:58,2014/09/21 01:51,S13E85,C1.2,-926,-230,0,15,0,no,
112160,2014/09/21 07:07,2014/09/21 07:25,2014/09/21 07:14,S12E78,C2.0,-912,-236,0,0,0,no,
112170,2014/09/21 11:28,2014/09/21 13:03,2014/09/21 11:45,N11W40,C5.2,637,129,0,297,0,no,
112180,2014/09/22 19:12,2014/09/22 20:08,2014/09/22 19:51,S16E61,C1.6,-804,-326,0,105,0,no,
112190,2014/09/23 15:28,2014/09/23 15:39,2014/09/23 15:36,S12E48,C1.1,-684,-312,0,29,0,no,
112200,2014/09/23 20:44,2014/09/23 21:10,2014/09/23 20:58,S13E43,B9.6,-645,-299,0,49,0,no,
112210,2014/09/23 23:01,2014/09/24 00:10,2014/09/23 23:09,S13E33,M2.3,-495,-333,0,123,0,no,20140923_2311
112220,2014/09/24 16:01,2014/09/24 16:14,2014/09/24 16:11,S12E25,C1.8,-395,-198,0,28,0,no,
112230,2014/09/24 17:45,2014/09/24 17:52,2014/09/24 17:50,S13E24,C7.0,-379,-215,0,16,0,no,
112240,2014/09/24 23:36,2014/09/24 23:54,2014/09/24 23:42,N13E88,C4.8,-943,233,0,1,0,no,
112250,2014/09/25 13:47,2014/09/25 13:56,2014/09/25 13:53,N11E88,C2.5,-942,195,0,20,0,6-12,
112260,2014/09/25 19:12,2014/09/25 21:47,2014/09/25 20:32,S15E18,C3.2,-287,-363,127,211,12,3-6,
112270,2014/09/25 21:49,2014/09/25 22:31,2014/09/25 22:09,N13W10,C5.6,175,101,0,23,0,6-12,
112280,2014/09/26 00:41,2014/09/26 00:53,2014/09/26 00:46,S15E01,C1.6,-16,-363,0,43,0,12-25,
112290,2014/09/26 04:19,2014/09/26 06:59,2014/09/26 05:44,S08E08,C8.6,-137,-260,209,298,22,6-12,
112300,2014/09/26 12:36,2014/09/26 12:58,2014/09/26 12:55,N12E76,C3.7,-909,171,0,44,0,25-50,
112310,2014/09/26 13:50,2014/09/26 13:56,2014/09/26 13:54,S11E04,C4.2,-111,-302,8,18,2,no,
112320,2014/09/26 16:13,2014/09/26 16:25,2014/09/26 16:18,N13E75,C7.9,-899,164,0,66,0,no,
112330,2014/09/26 19:34,2014/09/26 19:41,2014/09/26 19:38,N12E82,C1.6,-925,190,0,5,0,no,
112340,2014/09/26 23:06,2014/09/26 23:14,2014/09/26 23:10,S03E89,C3.5,-968,-63,0,6,0,no,
112350,2014/09/27 00:10,2014/09/27 00:24,2014/09/27 00:14,S15W10,C2.2,141,-348,16,46,0,12-25,
112360,2014/09/27 06:45,2014/09/27 06:55,2014/09/27 06:50,S18W15,C2.4,251,-390,0,0,0,12-25,
112370,2014/09/27 08:32,2014/09/27 08:40,2014/09/27 08:37,S04E89,M1.0,-961,-71,0,0,0,3-6,
112380,2014/09/27 15:32,2014/09/27 15:51,2014/09/27 16:13,S10W09,C2.3,147,-166,0,16,0,3-6,
112390,2014/09/27 19:19,2014/09/27 19:51,2014/09/27 20:01,S13W11,C2.7,178,-215,0,91,1,no,
112400,2014/09/28 01:09,2014/09/28 01:16,2014/09/28 01:28,S10W16,C3.4,259,-166,0,15,0,3-6,
112410,2014/09/28 02:39,2014/09/28 02:58,2014/09/28 03:19,S13W23,M5.1,364,-215,0,109,0,25-50,20140928_0243
112420,2014/09/28 06:59,2014/09/28 07:04,2014/09/28 07:29,S17W29,C6.3,443,-279,0,32,0,no,
112430,2014/09/28 10:55,2014/09/28 10:59,2014/09/28 11:02,S12W22,C2.9,350,-199,0,23,0,no,
112440,2014/09/28 16:34,2014/09/28 17:33,2014/09/28 18:00,S15W30,M1.0,462,-247,66,178,0,25-50,
112450,2014/09/28 20:27,2014/09/28 20:35,2014/09/28 20:55,S17W37,C4.0,551,-280,0,24,0,12-25,
112460,2014/09/29 03:47,2014/09/29 03:50,2014/09/29 03:55,N07E00,C2.2,0,116,0,20,0,no,
112470,2014/09/29 05:34,2014/09/29 05:54,2014/09/29 06:05,N13E42,C5.4,-624,215,0,29,0,6-12,
112480,2014/09/29 08:16,2014/09/29 11:02,2014/09/29 11:26,S16W39,C2.1,579,-264,0,291,0,12-25,
112490,2014/09/29 15:02,2014/09/29 15:38,2014/09/29 16:30,S16W45,C2.1,651,-264,41,78,0,6-12,
112500,2014/09/29 17:44,2014/09/29 18:10,2014/09/29 19:18,S16W45,C2.2,651,-264,14,51,0,12-25,
112510,2014/09/29 19:42,2014/09/29 21:32,2014/09/29 22:55,S16W44,C3.3,639,-264,122,211,0,12-25,
112520,2014/09/30 04:10,2014/09/30 04:44,2014/09/30 05:10,S15W56,C2.6,767,-247,39,98,0,12-25,
112530,2014/10/01 02:40,2014/10/01 03:48,2014/10/01 03:06,S12W64,C6.7,842,-199,0,0,0,12-25,
112540,2014/10/02 17:10,2014/10/02 17:44,2014/10/02 18:15,S18W76,M1.5,884,-296,0,0,0,12-25,
112550,2014/10/02 18:49,2014/10/02 19:01,2014/10/02 19:14,S17W82,M7.3,908,-280,0,0,0,25-50,
112560,2014/10/02 22:51,2014/10/02 22:54,2014/10/02 22:56,N18E89,C3.6,-911,296,0,8,0,25-50,
112570,2014/10/03 00:05,2014/10/03 00:12,2014/10/03 00:08,S09W88,C3.2,949,-153,0,16,0,no,
112580,2014/10/03 02:57,2014/10/03 03:15,2014/10/03 03:04,S11W88,C5.7,948,-198,0,6,0,12-25,
112590,2014/10/03 03:58,2014/10/03 04:37,2014/10/03 04:20,S13W88,C5.7,933,-215,0,54,0,12-25,
112600,2014/10/03 06:36,2014/10/03 07:14,2014/10/03 06:48,S12W88,C9.0,947,-218,0,46,0,25-50,
112610,2014/10/03 08:17,2014/10/03 10:23,2014/10/03 09:29,S13W88,C1.3,939,-228,0,198,0,6-12,
112620,2014/10/03 10:41,2014/10/03 10:53,2014/10/03 10:46,S13W88,C2.2,945,-223,0,25,0,12-25,
112630,2014/10/03 11:41,2014/10/03 11:58,2014/10/03 11:48,S13W88,C2.5,941,-225,0,35,0,12-25,
112640,2014/10/03 22:07,2014/10/03 22:20,2014/10/03 22:15,S13W88,C1.9,948,-222,0,6,0,6-12,
112650,2014/10/04 00:54,2014/10/04 01:11,2014/10/04 01:02,S03W04,C1.7,72,-170,20,113,0,6-12,
112660,2014/10/04 02:10,2014/10/04 02:40,2014/10/04 02:24,S13W88,C1.4,945,-222,0,62,0,6-12,
112670,2014/10/04 06:48,2014/10/04 07:08,2014/10/04 06:58,N11E26,C1.0,-412,183,0,40,0,no,
112680,2014/10/04 10:16,2014/10/04 10:24,2014/10/04 10:21,S03W12,C1.4,213,-161,0,18,0,no,
112690,2014/10/05 09:32,2014/10/05 10:16,2014/10/05 09:54,S01W23,C1.0,374,-16,0,0,0,6-12,
112700,2014/10/05 12:11,2014/10/05 13:11,2014/10/05 12:35,S10W39,C1.0,607,-261,0,0,0,6-12,
112710,2014/10/05 13:19,2014/10/05 13:44,2014/10/05 13:35,S21E52,C1.2,-710,-415,0,0,0,12-25,
112720,2014/10/05 16:33,2014/10/05 17:05,2014/10/05 16:56,N09W52,C1.5,752,90,0,0,0,6-12,
112730,2014/10/06 00:01,2014/10/06 00:11,2014/10/06 00:06,S11W45,C1.2,650,-275,0,0,0,no,
112740,2014/10/06 15:44,2014/10/06 15:54,2014/10/06 15:49,S13W55,C1.7,762,-259,0,0,0,no,
112750,2014/10/06 16:35,2014/10/06 17:34,2014/10/06 17:07,S16E60,C3.0,-797,-327,0,0,0,12-25,
112760,2014/10/06 21:08,2014/10/06 21:41,2014/10/06 21:26,S12W56,C1.5,778,-268,0,0,0,6-12,
112770,2014/10/07 07:05,2014/10/07 07:17,2014/10/07 07:09,N15E44,B8.2,-656,158,0,0,0,6-12,
