# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
112780,2014/10/07 07:20,2014/10/07 07:32,2014/10/07 07:26,N15E44,C1.1,-650,156,0,0,0,12-25,
112790,2014/10/07 15:25,2014/10/07 15:42,2014/10/07 15:27,N15E39,B7.2,-605,157,0,0,0,6-12,
112800,2014/10/07 15:55,2014/10/07 16:04,2014/10/07 16:00,N14E38,C1.6,-593,149,0,0,0,no,
112810,2014/10/07 19:48,2014/10/07 20:07,2014/10/07 19:57,N14E36,C1.0,-560,147,0,0,0,12-25,
112820,2014/10/07 23:29,2014/10/07 23:40,2014/10/07 23:34,N14E35,C1.1,-531,145,0,0,0,no,
112830,2014/10/08 13:04,2014/10/08 13:20,2014/10/08 13:17,S16W32,C1.0,527,-322,0,31,0,3-6,
112840,2014/10/08 16:45,2014/10/08 16:56,2014/10/08 16:51,S17W38,C2.1,591,-338,0,22,0,12-25,
112850,2014/10/08 19:48,2014/10/08 19:58,2014/10/08 19:53,S17W41,C2.0,618,-335,0,9,0,3-6,
112860,2014/10/08 20:21,2014/10/08 20:34,2014/10/08 20:27,S15W42,C1.8,620,-337,0,0,0,no,
112870,2014/10/08 22:25,2014/10/08 23:03,2014/10/08 22:54,S14W43,C3.8,633,-343,0,0,1,3-6,
112880,2014/10/09 01:29,2014/10/09 02:17,2014/10/09 01:44,S15W45,M1.3,650,-337,0,0,0,25-50,20141009_0142
112890,2014/10/09 01:54,2014/10/09 02:02,2014/10/09 01:58,S16W45,M1.4,654,-338,0,0,0,25-50,
112900,2014/10/09 03:05,2014/10/09 03:39,2014/10/09 03:14,S15W45,C1.6,663,-339,0,0,0,6-12,
112910,2014/10/09 04:37,2014/10/09 04:48,2014/10/09 04:42,S16W46,C1.3,669,-343,0,0,0,6-12,
112920,2014/10/09 04:59,2014/10/09 05:17,2014/10/09 05:04,S16W46,C4.2,667,-333,0,0,0,25-50,
112930,2014/10/09 06:11,2014/10/09 06:18,2014/10/09 06:15,S19W46,C1.1,687,-336,0,0,0,no,
112940,2014/10/09 06:41,2014/10/09 07:21,2014/10/09 06:57,S16W46,M1.2,689,-336,0,156,0,25-50,
112950,2014/10/09 07:35,2014/10/09 07:51,2014/10/09 07:43,S18W46,C2.7,681,-332,0,26,0,no,
112960,2014/10/09 08:21,2014/10/09 09:37,2014/10/09 09:27,S16W48,C7.9,692,-330,0,111,1,6-12,
112970,2014/10/09 10:52,2014/10/09 10:57,2014/10/09 10:55,S19W50,C1.1,716,-326,0,18,0,6-12,
112980,2014/10/09 11:30,2014/10/09 11:49,2014/10/09 11:35,S15W48,B7.9,699,-320,0,67,0,6-12,
112990,2014/10/09 12:53,2014/10/09 13:20,2014/10/09 13:03,S19W51,C1.9,705,-312,0,53,0,12-25,
113000,2014/10/09 18:19,2014/10/09 18:31,2014/10/09 18:23,S16W53,C1.0,743,-324,0,26,0,no,
113010,2014/10/09 20:20,2014/10/09 20:25,2014/10/09 20:23,S02W87,B6.6,958,-42,0,0,0,12-25,
113020,2014/10/10 15:42,2014/10/10 18:21,2014/10/10 16:47,S20W51,C3.0,703,-398,0,0,1,3-6,
113030,2014/10/11 03:26,2014/10/11 04:25,2014/10/11 03:45,S13E88,B6.5,-960,-238,0,57,0,no,
113040,2014/10/11 23:04,2014/10/11 23:38,2014/10/11 23:23,S08E88,B9.5,-962,-151,0,66,0,6-12,
113050,2014/10/11 23:52,2014/10/12 00:29,2014/10/12 00:13,S08E88,C1.8,-969,-143,0,28,0,6-12,
113060,2014/10/12 02:30,2014/10/12 02:47,2014/10/12 02:40,S10E88,B6.2,-956,-180,0,7,0,6-12,
113070,2014/10/12 05:10,2014/10/12 05:21,2014/10/12 05:15,S11E88,C2.5,-950,-187,0,7,0,no,
113080,2014/10/12 06:19,2014/10/12 06:41,2014/10/12 06:37,S11E88,C1.7,-949,-187,0,14,0,no,
113090,2014/10/12 10:00,2014/10/12 10:19,2014/10/12 10:13,S11E86,B6.7,-941,-191,0,0,0,6-12,
113100,2014/10/13 22:42,2014/10/13 22:49,2014/10/13 22:45,S15W41,B6.3,620,-324,0,13,0,6-12,
113110,2014/10/14 18:21,2014/10/14 18:46,2014/10/14 18:37,S12E88,M1.1,-940,-200,0,124,0,12-25,
113120,2014/10/14 19:07,2014/10/15 00:19,2014/10/14 21:21,S11E88,M2.2,-943,-183,0,157,0,3-6,
113130,2014/10/16 07:31,2014/10/16 07:47,2014/10/16 07:37,S14E88,C7.7,-943,-246,0,73,0,12-25,
113140,2014/10/16 08:35,2014/10/16 09:44,2014/10/16 09:23,S11E88,C6.4,-968,-204,0,0,0,12-25,
113150,2014/10/16 12:58,2014/10/16 13:05,2014/10/16 13:03,S13E88,M4.3,-947,-224,0,0,0,50-100,
113160,2014/10/16 18:04,2014/10/16 18:17,2014/10/16 18:10,S15E88,C2.0,-939,-269,8,26,0,no,
113170,2014/10/16 23:34,2014/10/16 23:44,2014/10/16 23:38,S16E87,C2.9,-933,-285,0,0,0,no,
113180,2014/10/17 03:10,2014/10/17 03:33,2014/10/17 03:20,S17E87,C3.9,-928,-287,0,60,0,25-50,
113190,2014/10/17 04:55,2014/10/17 05:06,2014/10/17 05:00,S15E88,C6.6,-932,-269,80,73,0,12-25,20141017_0457
113200,2014/10/17 12:43,2014/10/17 12:56,2014/10/17 12:49,S13E88,C3.6,-940,-221,0,41,0,25-50,
113210,2014/10/17 15:34,2014/10/17 15:41,2014/10/17 15:39,S15E79,C6.7,-905,-249,15,15,0,25-50,
113220,2014/10/17 19:28,2014/10/17 19:36,2014/10/17 19:33,S12E73,C6.3,-892,-257,0,3,0,no,
113230,2014/10/17 20:43,2014/10/17 21:18,2014/10/17 21:12,S13E83,C2.3,-932,-228,0,30,0,12-25,
113240,2014/10/18 00:53,2014/10/18 01:15,2014/10/18 01:07,S12E80,C5.0,-926,-229,0,1,0,25-50,
113250,2014/10/18 06:43,2014/10/18 06:48,2014/10/18 06:46,S13E72,C3.7,-873,-261,0,14,0,no,
113260,2014/10/18 07:02,2014/10/18 08:49,2014/10/18 07:58,S13E71,M1.6,-887,-216,0,211,1,3-6,
113270,2014/10/18 13:01,2014/10/18 13:19,2014/10/18 13:15,S13E68,C2.6,-854,-274,0,52,0,3-6,
113280,2014/10/18 14:22,2014/10/18 14:28,2014/10/18 14:25,S17E67,C1.7,-847,-320,0,5,0,no,
113290,2014/10/18 15:59,2014/10/18 16:06,2014/10/18 16:03,S12E72,C2.6,-879,-239,9,14,0,no,
113300,2014/10/18 17:01,2014/10/18 17:07,2014/10/18 17:04,S12E70,C2.1,-881,-237,8,13,0,12-25,
113310,2014/10/18 17:09,2014/10/18 17:25,2014/10/18 17:15,S11E68,C2.7,-880,-224,19,27,0,25-50,
113320,2014/10/18 18:59,2014/10/18 19:33,2014/10/18 19:16,S16E66,C3.8,-848,-303,0,0,0,6-12,
113330,2014/10/18 19:54,2014/10/18 20:16,2014/10/18 20:06,S07E58,C6.7,-812,-181,0,0,0,12-25,
113340,2014/10/19 01:17,2014/10/19 03:25,2014/10/19 01:47,S12E65,C5.7,-860,-242,0,301,0,6-12,
113350,2014/10/19 04:17,2014/10/19 05:48,2014/10/19 05:03,S14E64,X1.1,-840,-276,0,502,0,6-12,
113360,2014/10/19 11:05,2014/10/19 11:25,2014/10/19 11:19,S09E59,C4.2,-789,-260,0,46,0,6-12,
113370,2014/10/19 12:08,2014/10/19 12:28,2014/10/19 12:14,S09E58,C5.8,-790,-258,0,16,0,25-50,
113380,2014/10/19 15:50,2014/10/19 16:04,2014/10/19 15:56,S16E52,C3.9,-734,-327,17,10,5,6-12,
113390,2014/10/19 17:30,2014/10/19 17:37,2014/10/19 17:34,S13E52,C4.7,-741,-275,9,9,0,no,
113400,2014/10/19 20:24,2014/10/19 20:29,2014/10/19 20:27,S13E50,C2.1,-728,-275,0,0,0,no,
113410,2014/10/19 23:54,2014/10/20 00:16,2014/10/20 00:10,S12E52,C2.5,-749,-258,0,17,0,12-25,
113420,2014/10/20 00:49,2014/10/20 00:56,2014/10/20 00:53,S13E50,C2.5,-719,-216,0,6,0,12-25,
113430,2014/10/20 01:58,2014/10/20 02:04,2014/10/20 02:01,S20E38,C2.8,-548,-377,0,8,0,12-25,
113440,2014/10/20 02:25,2014/10/20 02:32,2014/10/20 02:28,S17E46,C3.2,-641,-320,0,7,0,6-12,
113450,2014/10/20 03:32,2014/10/20 04:05,2014/10/20 03:57,S17E46,C5.4,-635,-318,0,127,0,25-50,
113460,2014/10/20 05:37,2014/10/20 06:09,2014/10/20 06:02,S17E50,C9.0,-683,-272,0,38,0,6-12,
113470,2014/10/20 09:00,2014/10/20 09:20,2014/10/20 09:11,S14E42,M3.9,-624,-338,0,4,0,no,
113480,2014/10/20 11:17,2014/10/20 11:39,2014/10/20 11:22,S11E45,C2.8,-659,-267,23,22,6,6-12,
113490,2014/10/20 13:58,2014/10/20 14:12,2014/10/20 14:01,S11E44,C2.7,-649,-259,15,19,0,no,
113500,2014/10/20 14:40,2014/10/20 14:47,2014/10/20 14:43,S15E38,C3.1,-557,-326,8,3,0,12-25,
113510,2014/10/20 14:58,2014/10/20 15:35,2014/10/20 15:00,S10E43,C8.6,-603,-304,36,205,0,25-50,
113520,2014/10/20 16:00,2014/10/20 16:55,2014/10/20 16:37,S14E37,M4.5,-597,-308,62,190,0,25-50,
113530,2014/10/20 18:43,2014/10/20 18:51,2014/10/20 18:47,S19E45,C6.2,-651,-374,9,51,0,no,
113540,2014/10/20 18:55,2014/10/20 19:04,2014/10/20 19:02,S15E46,M1.4,-670,-315,10,65,0,50-100,
113550,2014/10/20 19:53,2014/10/20 20:13,2014/10/20 20:04,S14E36,M1.7,-557,-317,21,101,0,25-50,
113560,2014/10/20 22:11,2014/10/21 00:07,2014/10/20 22:46,S14E36,M1.2,-557,-305,117,102,0,12-25,20141020_2246
113570,2014/10/21 02:12,2014/10/21 02:30,2014/10/21 02:20,S10E36,C4.2,-567,-251,19,21,0,25-50,
113580,2014/10/21 06:05,2014/10/21 06:21,2014/10/21 06:14,S11E31,C5.7,-536,-250,12,0,0,12-25,
113590,2014/10/21 06:53,2014/10/21 07:02,2014/10/21 06:57,S14E29,C2.9,-436,-326,10,0,0,6-12,
113600,2014/10/21 08:08,2014/10/21 08:12,2014/10/21 08:10,S08E28,C3.1,-469,-248,5,0,0,12-25,
113610,2014/10/21 10:46,2014/10/21 11:13,2014/10/21 10:58,N08E89,C6.3,-965,152,0,0,0,25-50,
113620,2014/10/21 12:25,2014/10/21 12:30,2014/10/21 12:28,S18E36,C4.4,-546,-366,52,42,0,25-50,
113630,2014/10/21 13:35,2014/10/21 13:40,2014/10/21 13:38,S14E35,M1.2,-548,-318,51,37,0,no,
113640,2014/10/21 19:03,2014/10/21 19:16,2014/10/21 19:10,S13E23,C4.0,-378,-299,15,44,5,12-25,
113650,2014/10/21 20:05,2014/10/21 20:41,2014/10/21 20:22,S16E25,C6.5,-456,-408,40,48,0,12-25,
113660,2014/10/21 21:54,2014/10/21 22:14,2014/10/21 22:04,S16E21,C3.4,-336,-353,23,46,7,12-25,
113670,2014/10/22 01:16,2014/10/22 02:28,2014/10/22 01:59,S13E21,M8.7,-349,-306,241,326,21,50-100,20141022_0139
113680,2014/10/22 05:11,2014/10/22 05:21,2014/10/22 05:17,S15E14,M2.7,-231,-336,12,23,0,12-25,20141022_0514
113690,2014/10/22 09:06,2014/10/22 09:19,2014/10/22 09:12,S16E12,C4.6,-198,-363,15,34,0,12-25,
113700,2014/10/22 12:00,2014/10/22 12:15,2014/10/22 12:05,S18E13,C3.2,-209,-386,89,73,6,6-12,
113710,2014/10/22 14:02,2014/10/22 22:30,2014/10/22 14:06,S14E13,X1.6,-225,-324,>999,>999,53,6-12,
113720,2014/10/22 15:51,2014/10/22 16:03,2014/10/22 15:57,S11E88,M1.4,-957,-196,0,0,0,25-50,
113730,2014/10/22 16:52,2014/10/22 17:03,2014/10/22 16:59,S19E17,C5.7,-267,-396,13,93,0,3-6,
113740,2014/10/22 21:02,2014/10/22 21:23,2014/10/22 21:16,S14E88,C6.5,-947,-249,0,44,0,3-6,
113750,2014/10/23 04:19,2014/10/23 04:42,2014/10/23 04:30,S13E06,C3.7,-102,-311,26,0,0,3-6,
113760,2014/10/23 07:02,2014/10/23 07:11,2014/10/23 07:05,S13E88,C1.8,-948,-227,0,20,0,no,
113770,2014/10/23 09:44,2014/10/23 09:56,2014/10/23 09:50,S16E03,M1.1,-63,-355,0,0,0,no,
113780,2014/10/23 15:20,2014/10/23 16:09,2014/10/23 15:39,S09E02,C4.6,29,-221,0,0,0,6-12,
113790,2014/10/23 17:39,2014/10/23 19:03,2014/10/23 17:52,S09E02,C5.9,17,-309,0,0,0,6-12,
113800,2014/10/23 19:11,2014/10/23 19:18,2014/10/23 19:15,S21E05,C3.3,-78,-345,0,0,0,no,
113810,2014/10/24 02:35,2014/10/24 02:48,2014/10/24 02:43,S20W02,C4.2,27,-407,15,103,0,12-25,
113820,2014/10/24 02:54,2014/10/24 03:05,2014/10/24 02:59,S20W02,C3.4,31,-329,13,36,0,12-25,
113830,2014/10/24 03:56,2014/10/24 04:02,2014/10/24 04:00,S22W00,C3.6,0,-361,8,0,0,6-12,
113840,2014/10/24 07:37,2014/10/24 07:53,2014/10/24 07:48,S19W05,M4.0,84,-408,19,0,0,50-100,
113850,2014/10/24 09:58,2014/10/24 10:04,2014/10/24 10:01,S14W07,C3.6,118,-320,8,0,0,3-6,
113860,2014/10/24 14:31,2014/10/24 15:54,2014/10/24 15:06,S16W15,C5.1,245,-353,78,145,7,12-25,
113870,2014/10/24 20:50,2014/10/25 00:14,2014/10/24 21:15,S16W21,X3.1,332,-265,220,592,0,12-25,
113880,2014/10/25 04:06,2014/10/25 04:17,2014/10/25 04:13,S07W24,C4.4,390,-230,0,0,0,6-12,20141025_0408
113890,2014/10/25 06:26,2014/10/25 09:35,2014/10/25 07:49,S14W23,C9.2,397,-342,209,426,0,12-25,
113900,2014/10/25 09:44,2014/10/25 09:55,2014/10/25 09:49,S11W22,C4.6,360,-276,13,9,0,no,
113910,2014/10/25 12:13,2014/10/25 12:25,2014/10/25 12:20,S13W22,C3.2,354,-297,15,32,5,25-50,
113920,2014/10/25 15:00,2014/10/25 15:08,2014/10/25 15:04,S13W23,C5.1,377,-308,10,22,4,25-50,
113930,2014/10/25 15:44,2014/10/25 16:15,2014/10/25 15:52,S14W23,C9.7,380,-308,35,23,8,6-12,
113940,2014/10/25 16:55,2014/10/25 18:11,2014/10/25 17:08,S10W22,X1.0,365,-251,194,208,1,12-25,
113950,2014/10/25 23:20,2014/10/25 23:36,2014/10/25 23:26,S13W28,C8.4,444,-305,0,0,0,25-50,20141025_2322
113960,2014/10/26 01:08,2014/10/26 01:27,2014/10/26 01:13,S14W29,C3.1,457,-308,22,48,7,no,20141026_0111
113970,2014/10/26 05:09,2014/10/26 05:19,2014/10/26 05:13,S14W30,C2.8,483,-301,12,28,1,12-25,
113980,2014/10/26 05:45,2014/10/26 05:55,2014/10/26 05:50,S14W30,C4.0,486,-303,2,14,0,25-50,
113990,2014/10/26 06:13,2014/10/26 06:57,2014/10/26 06:19,S15W36,C9.5,494,-305,0,2,0,12-25,20141026_0619
114000,2014/10/26 10:04,2014/10/26 11:18,2014/10/26 10:56,S18W40,X2.0,569,-309,121,344,16,6-12,
114010,2014/10/26 13:03,2014/10/26 15:02,2014/10/26 13:07,S18W40,C9.2,544,-297,122,278,32,6-12,
114020,2014/10/26 15:10,2014/10/26 15:35,2014/10/26 15:16,S17W40,C5.2,632,-327,28,70,7,25-50,
114030,2014/10/26 15:52,2014/10/26 16:00,2014/10/26 15:56,S13W39,C3.5,601,-283,0,0,0,25-50,
114040,2014/10/26 16:12,2014/10/26 16:22,2014/10/26 16:17,N02W79,C5.3,954,46,0,0,0,12-25,
114050,2014/10/26 17:08,2014/10/26 17:30,2014/10/26 17:17,S13W38,M1.0,588,-290,25,55,2,12-25,
114060,2014/10/26 17:55,2014/10/26 18:05,2014/10/26 17:59,S14W38,C7.8,578,-297,10,38,0,25-50,
114070,2014/10/26 18:07,2014/10/26 18:20,2014/10/26 18:15,S14W37,M4.2,577,-300,16,0,0,50-100,
114080,2014/10/26 18:43,2014/10/26 18:56,2014/10/26 18:49,S13W38,M1.9,587,-295,15,31,2,12-25,
114090,2014/10/26 19:59,2014/10/26 20:45,2014/10/26 20:21,S15W45,M2.4,659,-318,170,159,0,12-25,
114100,2014/10/26 21:47,2014/10/26 22:13,2014/10/26 21:59,S14W43,C8.3,643,-303,25,51,5,12-25,
114110,2014/10/27 00:01,2014/10/27 10:22,2014/10/27 00:25,S14W44,M7.1,641,-266,0,0,65,25-50,20141027_0004
114120,2014/10/27 01:44,2014/10/27 02:11,2014/10/27 02:02,S13W45,M1.0,674,-283,31,33,8,12-25,20141027_0202
114130,2014/10/27 03:35,2014/10/27 03:48,2014/10/27 03:41,S13W45,M1.3,669,-286,15,0,5,25-50,
114140,2014/10/27 05:01,2014/10/27 05:11,2014/10/27 05:04,S13W44,C3.4,662,-288,12,8,4,25-50,20141027_0502
114150,2014/10/27 05:21,2014/10/27 05:47,2014/10/27 05:38,S16W50,C4.9,711,-321,99,67,3,12-25,
114160,2014/10/27 06:56,2014/10/27 07:07,2014/10/27 07:01,S14W46,C9.6,683,-295,0,0,0,25-50,
114170,2014/10/27 07:11,2014/10/27 07:20,2014/10/27 07:15,S13W46,C9.6,675,-287,73,57,1,no,
114180,2014/10/27 09:59,2014/10/27 10:26,2014/10/27 10:09,S15W51,M6.7,726,-306,0,0,0,25-50,
114190,2014/10/27 14:04,2014/10/27 15:31,2014/10/27 14:23,S17W52,X2.0,771,-352,222,422,26,3-6,
114200,2014/10/27 17:33,2014/10/27 17:47,2014/10/27 17:40,S21W51,M1.4,700,-346,17,117,0,25-50,
114210,2014/10/27 21:16,2014/10/27 21:30,2014/10/27 21:23,S13W53,C5.4,756,-271,15,35,1,no,
114220,2014/10/27 22:59,2014/10/27 23:16,2014/10/27 23:04,S12W53,C4.6,764,-269,19,43,2,no,20141027_2301
114230,2014/10/28 02:15,2014/10/28 03:08,2014/10/28 02:42,S14W61,M3.4,837,-318,192,169,2,25-50,20141028_0217
114240,2014/10/28 03:23,2014/10/28 03:41,2014/10/28 03:32,S14W61,M6.6,819,-233,21,46,3,25-50,20141028_0327
114250,2014/10/28 05:46,2014/10/28 06:18,2014/10/28 06:01,S15W63,C4.2,789,-242,0,73,0,12-25,20141028_0557
114260,2014/10/28 08:20,2014/10/28 08:28,2014/10/28 08:24,S22W63,C6.5,803,-363,9,0,0,25-50,
114270,2014/10/28 11:02,2014/10/28 11:16,2014/10/28 11:05,S17W62,C5.3,818,-300,16,22,2,6-12,
114280,2014/10/28 13:54,2014/10/28 14:23,2014/10/28 14:06,S18W72,M1.6,890,-304,0,29,0,25-50,
114290,2014/10/29 03:10,2014/10/29 03:17,2014/10/29 03:14,S19W72,C3.3,866,-347,9,0,1,12-25,20141029_0313
114300,2014/10/29 03:29,2014/10/29 04:19,2014/10/29 03:58,S13W72,C8.4,908,-294,0,174,6,3-6,20141029_0339
114310,2014/10/29 06:03,2014/10/29 08:52,2014/10/29 08:20,S14W77,M1.0,912,-259,0,550,2,6-12,
114320,2014/10/29 09:54,2014/10/29 10:06,2014/10/29 10:01,S18W77,M1.2,893,-327,160,93,0,no,
114330,2014/10/29 13:55,2014/10/29 14:03,2014/10/29 14:00,S14W75,C5.5,906,-252,45,28,1,12-25,
114340,2014/10/29 14:19,2014/10/29 15:07,2014/10/29 15:00,S16W81,M1.4,916,-242,245,0,2,12-25,
114350,2014/10/29 16:06,2014/10/29 16:33,2014/10/29 16:20,S14W82,M1.0,927,-249,140,0,2,12-25,
114360,2014/10/29 18:47,2014/10/29 18:52,2014/10/29 18:50,S13W77,M1.3,918,-240,30,0,1,50-100,
114370,2014/10/29 19:31,2014/10/29 19:46,2014/10/29 19:38,S08W89,C6.8,964,-142,0,0,0,12-25,
114380,2014/10/29 21:18,2014/10/29 21:25,2014/10/29 21:22,S09W88,M2.3,966,-164,0,0,1,25-50,
114390,2014/10/29 23:00,2014/10/29 23:08,2014/10/29 23:03,S14W86,C2.7,931,-251,45,0,1,12-25,20141029_2301
114400,2014/10/29 23:19,2014/10/29 23:33,2014/10/29 23:25,S14W88,C3.6,939,-246,75,0,6,12-25,
114410,2014/10/29 23:54,2014/10/30 00:24,2014/10/30 00:11,S13W88,C7.1,958,-232,155,0,0,12-25,
114420,2014/10/30 00:34,2014/10/30 00:40,2014/10/30 00:37,S14W81,M1.3,927,-243,35,0,3,100-300,20141030_0035
114430,2014/10/30 01:19,2014/10/30 01:56,2014/10/30 01:35,S14W88,M3.5,941,-245,190,0,12,25-50,20141030_0128
114440,2014/10/30 04:17,2014/10/30 04:36,2014/10/30 04:28,S16W89,M1.2,928,-266,100,0,0,25-50,
114450,2014/10/30 05:42,2014/10/30 05:49,2014/10/30 05:46,S14W88,C3.5,936,-240,40,0,0,12-25,
114460,2014/10/30 12:37,2014/10/30 12:52,2014/10/30 12:44,S13W88,C2.9,948,-237,28,0,2,12-25,
114470,2014/10/30 13:04,2014/10/30 13:17,2014/10/30 13:12,S04E70,C6.9,-909,-107,0,0,0,12-25,
114480,2014/10/30 15:06,2014/10/30 15:14,2014/10/30 15:09,S04E71,C2.3,-910,-117,0,0,0,25-50,
114490,2014/10/30 15:21,2014/10/30 15:55,2014/10/30 15:42,S13W88,C9.7,952,-232,59,0,2,12-25,
114500,2014/10/30 17:53,2014/10/30 18:01,2014/10/30 17:58,S05E70,C3.4,-897,-123,0,0,0,12-25,
114510,2014/10/30 22:54,2014/10/30 23:05,2014/10/30 23:01,S06E66,C4.8,-877,-118,0,0,0,25-50,
114520,2014/10/31 00:32,2014/10/31 01:41,2014/10/31 01:01,S15W88,C8.2,947,-261,138,0,21,25-50,
114530,2014/10/31 08:21,2014/10/31 08:29,2014/10/31 08:25,S05E59,C2.3,-833,-120,0,0,0,3-6,
114540,2014/10/31 09:19,2014/10/31 09:27,2014/10/31 09:23,S05E57,C2.0,-823,-119,0,0,0,no,